구,법정동,아파트명,전용면적,층,건축년도,거래금액,년,월,일,거래유형
종로구,홍파동,경희궁자이(2단지),59.895,6,2017,215000,2026,4,27,중개거래
종로구,교북동,경희궁자이(4단지),45.879,19,2017,139000,2026,4,29,중개거래
종로구,숭인동,도시그린빌라,44.4,6,1997,32000,2026,4,28,중개거래
종로구,사직동,광화문스페이스본(101동~105동),146.92,14,2008,258000,2026,4,14,중개거래
종로구,명륜2가,아남1,84.9,8,1995,119500,2026,4,24,중개거래
종로구,교북동,동아,84.28,7,1995,83000,2026,4,19,중개거래
종로구,창신동,동대문,28.8,1,1966,35000,2026,4,29,직거래
종로구,익선동,현대뜨레비앙,48.54,5,2003,48800,2026,4,28,중개거래
종로구,창신동,창신쌍용2,54.7,4,1993,74000,2026,4,25,중개거래
종로구,명륜2가,아남1,84.9,4,1995,112000,2026,4,19,중개거래
종로구,창신동,창신쌍용2,54.7,1,1993,69800,2026,4,29,중개거래
종로구,창신동,MID그린(1동),59.55,2,2002,60000,2026,4,21,중개거래
종로구,평창동,롯데캐슬로잔,190.743,1,2009,172000,2026,4,24,중개거래
종로구,평창동,롯데낙천대,110.53,1,2001,102000,2026,4,24,중개거래
종로구,평창동,롯데낙천대,110.53,4,2001,119000,2026,4,16,중개거래
종로구,창신동,두산,59.95,7,1999,86000,2026,4,30,중개거래
종로구,창신동,두산,59.95,2,1999,56700,2026,4,30,직거래
종로구,창신동,성용,58.23,5,1994,51000,2026,4,6,중개거래
종로구,창신동,두산,59.95,16,1999,90000,2026,4,27,중개거래
종로구,창신동,창신이수,84.5,5,2003,93500,2026,4,27,중개거래
종로구,동숭동,동성아파트(1동),57.96,5,1999,39000,2026,4,25,중개거래
종로구,명륜2가,아남1,84.8,19,1995,112000,2026,4,26,중개거래
종로구,평창동,삼성,84.93,9,1998,85000,2026,4,24,중개거래
종로구,평동,경희궁자이(3단지),84.8359,18,2017,260000,2026,4,25,중개거래
종로구,숭인동,종로센트레빌,59.92,5,2008,104300,2026,4,24,중개거래
종로구,평창동,삼성,59.97,11,1998,68000,2026,4,24,중개거래
종로구,창신동,창신쌍용2,64.66,5,1993,72800,2026,4,24,중개거래
종로구,무악동,현대,84.92,1,2000,143980,2026,4,24,중개거래
종로구,숭인동,종로동광모닝스카이,15.855,15,2013,10550,2026,4,20,중개거래
종로구,창신동,(627-120),45.04,5,1999,43000,2026,4,10,중개거래
종로구,당주동,롯데미도파광화문빌딩,93.36,9,1981,83000,2026,4,23,중개거래
종로구,창신동,창신쌍용2,79.87,8,1993,52000,2026,4,16,직거래
종로구,명륜2가,명륜동주상복합아남아파트,115.05,2,1999,139000,2026,4,23,중개거래
종로구,홍파동,경희궁자이(2단지),84.8359,8,2017,245000,2026,4,15,중개거래
종로구,효제동,포레스트힐시티,16.672,9,2017,15000,2026,4,22,중개거래
종로구,평동,경희궁자이(3단지),59.7547,1,2017,205500,2026,4,22,중개거래
종로구,창신동,창신쌍용1,79.87,6,1992,75000,2026,4,22,중개거래
종로구,숭인동,종로센트레빌,84.92,5,2008,116000,2026,4,21,중개거래
종로구,창신동,창신쌍용1,54.7,6,1992,77500,2026,4,21,중개거래
종로구,평창동,형우럭스빌(33-1),103.07,2,2005,102000,2026,4,20,중개거래
종로구,창신동,창신쌍용2,64.66,5,1993,79000,2026,4,20,중개거래
종로구,창신동,창신쌍용2,54.7,7,1993,78000,2026,4,20,중개거래
종로구,홍파동,경희궁자이(2단지),138.6533,15,2017,385000,2026,4,4,중개거래
종로구,숭인동,블루빌,42.94,9,2017,28500,2026,4,11,중개거래
종로구,창신동,창신쌍용1,79.87,8,1992,89000,2026,4,18,중개거래
종로구,무악동,인왕산2차아이파크,84.748,15,2015,144500,2026,4,18,중개거래
종로구,평동,경희궁자이(3단지),84.9443,14,2017,258000,2026,4,18,중개거래
종로구,평동,경희궁자이(3단지),84.9443,6,2017,236000,2026,4,11,중개거래
종로구,숭인동,숭인한양LEEPS,12.78,9,2014,9400,2026,4,7,중개거래
종로구,창신동,창신쌍용2,106.62,7,1993,92000,2026,4,17,중개거래
종로구,창신동,창신쌍용1,79.87,11,1992,85000,2026,4,16,중개거래
