구,법정동,아파트명,전용면적,층,건축년도,거래금액,년,월,일,거래유형
종로구,명륜2가,아남1,84.9,13,1995,115000,2026,5,31,중개거래
종로구,창신동,MID그린(8동),59.01,2,2002,59000,2026,5,30,중개거래
종로구,평창동,롯데낙천대,110.53,7,2001,111000,2026,5,25,중개거래
종로구,창신동,두산,84.9,1,1999,104000,2026,5,30,중개거래
종로구,교북동,경희궁자이(4단지),37.2635,9,2017,100000,2026,5,1,중개거래
종로구,무악동,경희궁롯데캐슬,84.8792,8,2019,183000,2026,5,28,중개거래
종로구,사직동,광화문스페이스본(101동~105동),94.51,7,2008,170000,2026,5,29,중개거래
종로구,숭인동,익성씨티하임,15.42,11,2013,10800,2026,5,29,중개거래
종로구,충신동,힐스테이트창경궁,76.82,8,2022,129500,2026,5,31,중개거래
종로구,명륜1가,건양하늘터,84.78,2,2006,61500,2026,5,26,중개거래
종로구,창신동,창신쌍용2,79.87,14,1993,85800,2026,5,30,중개거래
종로구,교북동,경희궁자이(4단지),45.879,7,2017,139000,2026,5,30,중개거래
종로구,창신동,창신쌍용1,54.7,11,1992,80000,2026,5,30,중개거래
종로구,창신동,두산,84.9,7,1999,118300,2026,5,29,중개거래
종로구,평창동,형우럭스빌(33-1),103.07,3,2005,75000,2026,5,8,중개거래
종로구,숭인동,종로청계힐스테이트,59.9426,2,2009,94000,2026,5,29,중개거래
종로구,내수동,경희궁의아침3단지,174.55,8,2004,267000,2026,5,25,중개거래
종로구,인의동,효성쥬얼리시티,169.86,19,2006,141000,2026,5,19,직거래
종로구,내수동,경희궁파크팰리스,117.26,12,2003,186500,2026,5,19,중개거래
종로구,창신동,창신쌍용2,106.62,12,1993,100000,2026,5,24,중개거래
종로구,효제동,포레스트힐시티,16.672,4,2017,15000,2026,5,22,중개거래
종로구,창신동,창신쌍용1,79.87,2,1992,88000,2026,5,25,중개거래
종로구,홍파동,경희궁자이(2단지),101.9914,5,2017,316000,2026,5,23,중개거래
종로구,창신동,창신쌍용1,79.87,12,1992,93500,2026,5,25,중개거래
종로구,행촌동,대성아파트,19.27,5,1971,25200,2026,5,22,중개거래
종로구,창신동,창신쌍용2,79.87,7,1993,85500,2026,5,24,중개거래
종로구,창신동,창신쌍용2,54.7,11,1993,74500,2026,5,23,중개거래
종로구,창신동,창신쌍용1,54.7,9,1992,77500,2026,5,23,중개거래
종로구,무악동,경희궁롯데캐슬,59.6737,8,2019,172000,2026,5,8,중개거래
종로구,숭인동,종로센트레빌,59.92,3,2008,104000,2026,5,23,중개거래
종로구,숭인동,롯데캐슬천지인,111.73,18,2004,126500,2026,5,20,중개거래
종로구,홍파동,경희궁자이(2단지),59.8655,5,2017,192000,2026,5,22,직거래
종로구,사직동,광화문스페이스본(101동~105동),108.07,10,2008,196500,2026,5,6,중개거래
종로구,평창동,그린나래,36.83,2,2026,39324,2026,5,21,직거래
종로구,평창동,그린나래,36.97,2,2026,39474,2026,5,21,직거래
종로구,평창동,그린나래,36.66,2,2026,38793,2026,5,21,직거래
종로구,평창동,그린나래,36.74,2,2026,37711,2026,5,21,직거래
종로구,평창동,그린나래,36.83,3,2026,39705,2026,5,21,직거래
종로구,평창동,그린나래,36.97,3,2026,39856,2026,5,21,직거래
종로구,평창동,그린나래,36.66,3,2026,39143,2026,5,21,직거래
종로구,평창동,그린나래,36.74,3,2026,38091,2026,5,21,직거래
종로구,평창동,그린나래,36.83,4,2026,39895,2026,5,21,직거래
종로구,평창동,그린나래,36.97,4,2026,40047,2026,5,21,직거래
종로구,평창동,그린나래,36.66,4,2026,39332,2026,5,21,직거래
종로구,평창동,그린나래,36.74,4,2026,38280,2026,5,21,직거래
종로구,평창동,그린나래,36.83,5,2026,40100,2026,5,21,직거래
종로구,평창동,그린나래,36.97,5,2026,40252,2026,5,21,직거래
종로구,평창동,그린나래,36.66,5,2026,39536,2026,5,21,직거래
종로구,평창동,그린나래,36.74,5,2026,38484,2026,5,21,직거래
종로구,평창동,그린나래,36.83,6,2026,40100,2026,5,21,직거래
종로구,평창동,그린나래,36.97,6,2026,40252,2026,5,21,직거래
종로구,평창동,그린나래,36.66,6,2026,39536,2026,5,21,직거래
종로구,평창동,그린나래,36.74,6,2026,38484,2026,5,21,직거래
종로구,인의동,효성쥬얼리시티,169.86,19,2006,141000,2026,5,19,직거래
종로구,구기동,마운틴뷰,76.66,4,2019,61000,2026,5,21,중개거래
종로구,숭인동,종로중흥S클래스,17.811,7,2013,11950,2026,5,20,중개거래
종로구,창신동,창신쌍용2,106.62,3,1993,85500,2026,5,21,중개거래
종로구,창신동,두산,84.9,9,1999,104500,2026,5,20,중개거래
종로구,익선동,현대뜨레비앙,43.98,6,2003,45000,2026,5,21,직거래
종로구,창신동,창신쌍용2,79.87,14,1993,51100,2026,5,18,직거래
종로구,창신동,창신쌍용1,79.87,6,1992,65000,2026,5,18,직거래
종로구,홍파동,경희궁자이(2단지),84.614,9,2017,263500,2026,5,5,중개거래
종로구,창신동,두산,59.95,11,1999,90000,2026,5,1,중개거래
종로구,창신동,두산,84.9,9,1999,114500,2026,5,18,중개거래
종로구,창신동,MID그린(3동),58.88,5,2002,59000,2026,5,9,중개거래
종로구,무악동,인왕산아이파크,84.858,4,2008,154500,2026,5,15,중개거래
종로구,창신동,창신쌍용2,64.66,9,1993,80500,2026,5,15,중개거래
종로구,숭인동,익성씨티하임,15.42,11,2013,10800,2026,5,13,중개거래
종로구,창신동,두산,59.95,2,1999,85000,2026,5,14,중개거래
종로구,평동,경희궁자이(3단지),59.7547,3,2017,212500,2026,5,12,중개거래
종로구,평창동,일성빌라트,59.82,3,1996,64000,2026,5,13,중개거래
종로구,창신동,두산,84.9,16,1999,117600,2026,5,13,중개거래
종로구,평동,경희궁자이(3단지),84.8359,9,2017,260000,2026,5,12,중개거래
종로구,창신동,창신쌍용1,79.87,3,1992,92500,2026,5,12,중개거래
종로구,사직동,광화문스페이스본(101동~105동),146.92,12,2008,230000,2026,5,6,중개거래
종로구,홍파동,경희궁자이(2단지),59.8655,4,2017,225000,2026,5,5,중개거래
종로구,숭인동,롯데캐슬천지인,112.54,27,2004,123000,2026,5,11,중개거래
종로구,교북동,경희궁자이(4단지),45.879,14,2017,140000,2026,5,1,중개거래
종로구,무악동,경희궁롯데캐슬,59.6737,8,2019,172000,2026,5,8,중개거래
종로구,창신동,두산,59.95,9,1999,90000,2026,5,8,중개거래
종로구,숭인동,종로센트레빌,59.92,8,2008,97000,2026,5,8,중개거래
종로구,연건동,이화에수풀,16.98,9,2014,18500,2026,5,8,중개거래
종로구,교북동,경희궁자이(4단지),45.879,15,2017,134000,2026,5,1,중개거래
종로구,수송동,로얄팰리스스위트,40.07,14,2005,26000,2026,5,6,중개거래
종로구,홍파동,경희궁자이(2단지),59.8547,15,2017,209000,2026,5,6,중개거래
종로구,숭인동,종로센트레빌,59.92,4,2008,106000,2026,5,4,중개거래
종로구,홍파동,경희궁자이(2단지),84.5527,9,2017,247000,2026,5,1,중개거래
종로구,교북동,경희궁자이(4단지),37.2635,9,2017,100000,2026,5,1,중개거래
중구,황학동,황학동코아루,84.95,1,2010,95000,2026,5,6,중개거래
중구,충무로5가,충무로엘크루메크로시티2차,35.57,20,2016,36500,2026,5,29,중개거래
중구,묵정동,묵정,52.46,1,1981,49000,2026,5,26,중개거래
중구,신당동,남산타운,59.94,14,2002,153000,2026,5,14,중개거래
중구,신당동,남산타운,84.88,5,2002,180000,2026,5,22,중개거래
중구,충무로4가,남산센트럴자이,82.413,19,2009,132000,2026,5,28,중개거래
중구,신당동,약수하이츠,114.92,2,1999,170000,2026,5,25,중개거래
중구,신당동,약수하이츠,84.88,7,1999,165000,2026,5,23,중개거래
중구,신당동,삼성,114.91,3,1999,159500,2026,5,25,중개거래
중구,입정동,힐스테이트세운센트럴1단지,59.7076,22,2023,146500,2026,5,30,중개거래
중구,황학동,롯데캐슬,84.89,21,2008,115000,2026,5,22,중개거래
중구,신당동,신당KCC스위첸,72.9906,15,2019,167000,2026,5,29,중개거래
중구,신당동,래미안하이베르,117,3,2011,172500,2026,5,25,중개거래
중구,충무로4가,남산센트럴자이,160.505,21,2009,200000,2026,5,5,중개거래
중구,오장동,오장동오팰리오,39.69,13,2021,61000,2026,5,30,중개거래
중구,신당동,삼성V아파트A동,81.63,3,2007,80500,2026,5,7,중개거래
중구,신당동,현대,66.6,15,1993,128000,2026,5,22,중개거래
중구,신당동,래미안하이베르,84.97,10,2011,132000,2026,5,21,직거래
중구,만리동2가,서울역센트럴자이,59.943,10,2017,194500,2026,5,21,중개거래
중구,흥인동,청계천두산위브더제니스,124.2215,4,2014,146800,2026,5,27,중개거래
중구,신당동,삼성,59.98,8,1999,150000,2026,5,27,중개거래
중구,황학동,롯데캐슬,114.9,17,2008,137000,2026,5,22,중개거래
중구,황학동,롯데캐슬,84.92,32,2008,122000,2026,5,28,중개거래
중구,신당동,삼성,84.96,19,1999,167000,2026,5,27,중개거래
중구,신당동,약수하이츠,57.63,3,1999,147000,2026,5,8,중개거래
중구,신당동,남산타운,114.88,7,2002,185000,2026,5,26,중개거래
중구,신당동,약수하이츠,65.37,11,1999,156500,2026,5,22,중개거래
중구,황학동,롯데캐슬,84.89,18,2008,124000,2026,5,26,중개거래
중구,신당동,남산타운,59.94,4,2002,150500,2026,5,22,중개거래
중구,황학동,황학아크로타워,84.893,17,2010,126000,2026,5,19,중개거래
중구,흥인동,우일타운,114.57,17,1994,50000,2026,5,8,중개거래
중구,신당동,약수하이츠,84.88,4,1999,154000,2026,5,12,중개거래
중구,신당동,명경아트빌,39.31,2,2000,23000,2026,5,22,중개거래
중구,신당동,청구e편한세상,84.95,2,2011,178500,2026,5,23,중개거래
중구,신당동,남산타운,114.88,4,2002,183500,2026,5,23,중개거래
중구,신당동,한진해모로,59.76,9,2001,120000,2026,5,23,중개거래
중구,신당동,남산타운,84.88,14,2002,168000,2026,5,23,중개거래
중구,신당동,약수하이츠,57.63,1,1999,130500,2026,5,23,중개거래
중구,신당동,현대,66.6,2,1993,122000,2026,5,23,중개거래
중구,중림동,브라운스톤서울,139.562,30,2006,189000,2026,5,21,중개거래
중구,순화동,순화동더샵,84.99,14,2007,126500,2026,5,13,중개거래
중구,신당동,신당KCC스위첸,59.4458,13,2019,153000,2026,5,22,중개거래
중구,신당동,남산타운,84.88,5,2002,172700,2026,5,8,중개거래
중구,정동,삼정아트테라스정동,14.2664,7,2020,23000,2026,5,21,중개거래
중구,입정동,힐스테이트세운센트럴2단지,49.7623,17,2023,108000,2026,5,20,중개거래
중구,신당동,현대,122.275,9,1993,156000,2026,5,21,중개거래
중구,입정동,힐스테이트세운센트럴2단지,49.7623,17,2023,108000,2026,5,20,중개거래
중구,신당동,남산타운,59.94,13,2002,153000,2026,5,2,중개거래
중구,황학동,롯데캐슬,114.9,11,2008,135000,2026,5,20,중개거래
