구,법정동,아파트명,전용면적,층,건축년도,거래금액,년,월,일,거래유형
종로구,사직동,광화문스페이스본(101동~105동),147.31,11,2008,260000,2026,8,14,중개거래
종로구,부암동,부암스카이뷰,81,4,2004,71500,2026,8,19,중개거래
종로구,사직동,광화문스페이스본(101동~105동),108.55,14,2008,163000,2026,8,13,직거래
종로구,창신동,창신쌍용2,115.53,7,1993,105000,2026,8,8,중개거래
종로구,숭인동,종로청계힐스테이트,59.9426,5,2009,105500,2026,8,12,중개거래
종로구,인의동,효성쥬얼리시티,98.39,18,2006,130000,2026,8,11,중개거래
종로구,창신동,창신쌍용2,54.7,1,1993,74500,2026,8,1,중개거래
종로구,교북동,경희궁자이(4단지),33.982,9,2017,98000,2026,8,1,중개거래
중구,인현동2가,세운푸르지오헤리시티,24.5533,25,2023,35000,2026,8,21,중개거래
중구,입정동,힐스테이트세운센트럴2단지,49.7623,11,2023,115000,2026,8,12,직거래
중구,충무로4가,남산센트럴자이,114.84,29,2009,186000,2026,8,27,중개거래
중구,황학동,청계리버팰리스A,34.26,6,2019,33000,2026,8,13,중개거래
중구,신당동,약수하이츠,57.63,3,1999,163000,2026,8,22,중개거래
중구,신당동,약수하이츠,84.88,20,1999,175000,2026,8,3,중개거래
중구,만리동2가,서울역한라비발디센트럴,84.9774,3,2018,196000,2026,8,18,중개거래
중구,회현동1가,남산롯데캐슬아이리스,44.99,6,2011,100000,2026,8,14,중개거래
중구,중림동,삼성사이버빌리지,84.93,17,2001,185000,2026,8,3,중개거래
중구,신당동,남산타운,84.88,18,2002,183000,2026,8,16,중개거래
중구,신당동,현대,83.97,4,1993,132500,2026,8,15,중개거래
중구,신당동,현대,139.275,3,1993,155000,2026,8,15,중개거래
중구,신당동,래미안하이베르,117,6,2011,186000,2026,8,14,중개거래
중구,신당동,청구e편한세상,84.96,12,2011,209300,2026,8,14,중개거래
중구,신당동,약수하이츠,57.63,20,1999,153000,2026,8,5,중개거래
중구,신당동,약수하이츠,84.88,12,1999,164000,2026,8,14,중개거래
중구,신당동,남산타운,84.88,5,2002,178000,2026,8,13,중개거래
중구,신당동,삼성,84.96,2,1999,153000,2026,8,13,중개거래
중구,입정동,힐스테이트세운센트럴2단지,49.9902,27,2023,120000,2026,8,12,중개거래
중구,만리동2가,서울역센트럴자이,84.972,2,2017,229000,2026,8,1,중개거래
중구,신당동,신당동파라다이스,84.77,8,2000,97500,2026,8,3,중개거래
중구,흥인동,동대문와이즈캐슬,15.55,10,2014,14300,2026,8,3,중개거래
중구,신당동,약수하이츠,84.88,20,1999,175000,2026,8,3,중개거래
용산구,이촌동,리버뷰,138.94,8,1970,170000,2026,8,29,중개거래
용산구,이촌동,한가람,59.88,21,1998,249000,2026,8,3,중개거래
용산구,이태원동,메이(124-12),104.4,5,2002,140000,2026,8,25,중개거래
용산구,문배동,용산큐브,13.01,14,2013,18000,2026,8,27,중개거래
용산구,이촌동,이촌코오롱(A),59.82,3,1999,224500,2026,8,22,중개거래
용산구,이촌동,한가람,59.88,21,1998,244000,2026,8,1,중개거래
용산구,한강로3가,용산시티파크(1단지),181.89,10,2007,425000,2026,8,20,중개거래
용산구,이촌동,동원베네스트,84.973,4,2005,144100,2026,8,21,직거래
용산구,문배동,이안용산프리미어,84.98,28,2007,168000,2026,8,14,중개거래
용산구,한강로3가,철우,68.76,3,1978,170000,2026,8,14,중개거래
용산구,서빙고동,신동아,166.98,9,1984,475000,2026,8,10,중개거래
용산구,문배동,용산큐브,13.01,15,2013,18000,2026,8,3,중개거래
용산구,신계동,용산e편한세상,59.64,8,2011,209000,2026,8,8,중개거래
용산구,서빙고동,신동아,166.98,9,1984,421010,2026,8,5,직거래
용산구,이촌동,한강(대우),134.13,13,2000,320000,2026,8,5,중개거래
용산구,이촌동,이촌코오롱(A),84.78,4,1999,267000,2026,8,5,중개거래
