구,법정동,아파트명,전용면적,층,건축년도,거래금액,년,월,일,거래유형
종로구,창신동,MID그린(9동),59.9,3,2002,75000,2026,6,20,중개거래
종로구,교북동,경희궁자이(4단지),37.2635,7,2017,100000,2026,6,28,중개거래
종로구,창신동,동대문맨션,83.83,6,1973,51500,2026,6,23,중개거래
종로구,창신동,두산,59.95,7,1999,91800,2026,6,22,중개거래
종로구,창신동,흥인,56.88,2,1997,57700,2026,6,27,중개거래
종로구,필운동,두레엘리시안,84.74,5,2007,118500,2026,6,29,중개거래
종로구,평창동,롯데캐슬로잔,200.331,1,2009,201000,2026,6,27,중개거래
종로구,홍파동,경희궁자이(2단지),59.8547,20,2017,230000,2026,6,27,중개거래
종로구,사직동,광화문스페이스본(101동~105동),126.34,1,2008,210000,2026,6,26,중개거래
종로구,평창동,벽산블루밍평창힐스,150.94,5,2004,160000,2026,6,17,중개거래
종로구,무악동,현대,114.9,4,2000,159917,2026,6,22,중개거래
종로구,숭인동,종로중흥S클래스,19.466,6,2013,11500,2026,6,15,중개거래
종로구,신문로2가,디팰리스,147.551,9,2020,500000,2026,6,24,중개거래
종로구,홍파동,경희궁자이(2단지),84.9443,7,2017,277000,2026,6,16,중개거래
종로구,명륜2가,명륜동주상복합아남아파트,59.36,3,1999,89500,2026,6,17,중개거래
종로구,숭인동,블루빌,42.25,5,2017,30000,2026,6,22,직거래
종로구,창신동,창신이수,84.5,2,2003,89000,2026,6,18,중개거래
종로구,창신동,두산,59.95,11,1999,62000,2026,6,8,직거래
종로구,명륜2가,명륜동주상복합아남아파트,59.36,3,1999,89500,2026,6,17,중개거래
종로구,홍파동,경희궁자이(2단지),84.8359,6,2017,273000,2026,6,7,중개거래
종로구,숭인동,롯데캐슬천지인,112.54,13,2004,124000,2026,6,11,중개거래
종로구,무악동,인왕산2차아이파크,84.0284,13,2015,147500,2026,6,6,중개거래
종로구,홍파동,경희궁자이(2단지),84.8359,17,2017,264500,2026,6,5,중개거래
종로구,창신동,창신쌍용1,79.87,13,1992,62000,2026,6,4,직거래
종로구,숭인동,종로청계힐스테이트,59.9426,10,2009,104000,2026,6,3,중개거래
중구,신당동,신당동파라다이스,84.77,12,2000,115000,2026,6,29,중개거래
중구,신당동,남산타운,114.88,12,2002,192000,2026,6,12,중개거래
중구,신당동,다다아파트,59.97,1,2000,36000,2026,6,29,중개거래
중구,황학동,동광팰리스,27.98,12,2018,29400,2026,6,20,중개거래
중구,황학동,롯데캐슬,59.94,12,2008,105000,2026,6,29,중개거래
중구,황학동,동광팰리스,25.9,9,2018,29500,2026,6,26,중개거래
