구,법정동,아파트명,전용면적,층,건축년도,거래금액,년,월,일,거래유형
용산구,이태원동,용산동아파트,51.27,7,1969,60000,2026,9,5,중개거래
용산구,신계동,용산e편한세상,84.89,11,2011,248000,2026,9,2,중개거래
성동구,금호동1가,이편한세상금호파크힐스,59.949,13,2019,207500,2026,9,1,중개거래
동대문구,답십리동,힐스테이트청계,59.81,26,2018,165000,2026,9,4,중개거래
동대문구,장안동,삼현팰리체,68.04,8,2011,65000,2026,9,2,중개거래
동대문구,이문동,현대,59.92,14,2000,96700,2026,9,1,중개거래
중랑구,신내동,진로아파트,134.37,8,1995,105000,2026,9,7,중개거래
중랑구,신내동,성원,84.32,22,1994,75000,2026,9,7,중개거래
중랑구,면목동,한양수자인사가정파크,23.1074,3,2019,38700,2026,9,5,중개거래
중랑구,묵동,신내,39.84,10,1996,46500,2026,9,5,중개거래
중랑구,신내동,동성1,59.4,1,1993,61000,2026,9,1,중개거래
중랑구,망우동,백림금호,59.99,14,2000,47500,2026,9,4,중개거래
중랑구,묵동,신내두산아파트,126.28,12,1995,116000,2026,9,3,중개거래
중랑구,면목동,신우,84.66,12,1998,66300,2026,9,3,중개거래
중랑구,망우동,한일써너스빌리젠시1단지(101동),84.74,19,2008,88500,2026,9,3,중개거래
중랑구,신내동,성원,84.32,1,1994,68500,2026,9,3,중개거래
중랑구,중화동,리버센SKVIEW롯데캐슬,100.97,8,2025,130000,2026,9,3,직거래
중랑구,묵동,신내,39.84,3,1996,44300,2026,9,2,중개거래
중랑구,중화동,한신아파트상가동유치원동(103~109),50.37,14,1997,84000,2026,9,2,중개거래
중랑구,신내동,화성.두산아파트,66.96,6,1995,74000,2026,9,1,중개거래
중랑구,신내동,새한,84.4,12,1998,71000,2026,9,2,중개거래
중랑구,면목동,두산6,59.55,7,1993,60000,2026,9,1,중개거래
중랑구,신내동,중앙하이츠,84.97,2,1996,70000,2026,9,1,중개거래
중랑구,중화동,극동,84.82,9,1991,61500,2026,9,1,중개거래
성북구,하월곡동,월곡두산위브,84.992,10,2003,104500,2026,9,2,중개거래
성북구,종암동,종암2차SKVIEW,84.97,8,2010,115000,2026,9,3,중개거래
성북구,하월곡동,베로니스,52.61,7,2020,65000,2026,9,5,중개거래
성북구,종암동,아이파크종암동2차,114.698,7,2005,116000,2026,9,5,중개거래
성북구,길음동,롯데캐슬클라시아,59.8745,13,2022,159000,2026,9,5,중개거래
성북구,장위동,삼익아파트,80.36,3,2006,84000,2026,9,2,중개거래
성북구,정릉동,정릉풍림아이원,114.75,17,2005,83000,2026,9,5,중개거래
성북구,정릉동,대우,59.98,8,2001,51500,2026,9,3,중개거래
성북구,길음동,길음현대,59.98,5,2000,75700,2026,9,3,중개거래
성북구,정릉동,"산장아파트가동,나동",52.89,1,1977,37000,2026,9,3,중개거래
성북구,종암동,종암에스케이,59.04,19,1999,95800,2026,9,3,중개거래
성북구,장위동,꿈의숲코오롱하늘채,84.87,6,2017,129500,2026,9,2,중개거래
성북구,돈암동,삼성아지오아파트,84.98,4,2007,61000,2026,9,2,중개거래
성북구,돈암동,돈암동삼성,84.59,11,1999,101500,2026,9,1,중개거래
강북구,우이동,성원상떼빌,84.98,1,1990,46000,2026,9,5,중개거래
강북구,미아동,벽산라이브파크,59.67,14,2004,62500,2026,9,5,중개거래
강북구,미아동,에스케이북한산시티,114.85,2,2004,90000,2026,9,5,중개거래
강북구,번동,주공4단지,41.3,5,1991,40000,2026,9,4,중개거래
강북구,번동,효성네오인텔리안,71.05,10,2005,52000,2026,9,1,중개거래
강북구,미아동,두산위브트레지움,84.97,1,2011,94000,2026,9,3,중개거래
강북구,미아동,신일,84.91,1,2003,50000,2026,9,2,직거래
강북구,미아동,두산위브트레지움,84.99,7,2011,100000,2026,9,2,중개거래
도봉구,창동,신창,49.77,8,1998,35500,2026,9,2,중개거래
도봉구,도봉동,서원,49.77,1,1996,36000,2026,9,7,중개거래
도봉구,쌍문동,삼익세라믹,58.77,4,1988,43100,2026,9,7,중개거래
도봉구,창동,창동현대타운,57.93,7,1999,47000,2026,9,3,중개거래
도봉구,도봉동,도봉파크빌2,84.163,4,2002,61800,2026,9,4,중개거래
도봉구,쌍문동,한양2,59.67,6,1988,41800,2026,9,4,중개거래
도봉구,방학동,동부센트레빌아파트,84.909,1,2005,63000,2026,9,2,중개거래
도봉구,도봉동,도봉파크빌3,84.163,6,2002,60500,2026,9,4,중개거래
도봉구,방학동,청구아파트,84.97,6,1994,60000,2026,9,4,중개거래
도봉구,쌍문동,삼익세라믹,40.11,8,1988,27000,2026,9,2,중개거래
도봉구,창동,엘리시아,56.09,2,2020,42300,2026,9,2,중개거래
도봉구,창동,창동현대4차,101.9957,8,2003,99900,2026,9,3,중개거래
도봉구,방학동,방학지음재힐스,14.86,8,2018,11000,2026,9,1,중개거래
도봉구,창동,초안산신도브래뉴,84.9991,14,2005,65000,2026,9,2,중개거래
도봉구,창동,창동주공3단지(해등마을),49.94,3,1990,74000,2026,9,2,중개거래
도봉구,창동,삼성래미안,84.87,2,1992,83000,2026,9,2,중개거래
도봉구,방학동,신동아아파트1,43.35,8,1986,29000,2026,9,2,중개거래
도봉구,창동,창동주공3단지(해등마을),66.56,10,1990,90500,2026,9,1,중개거래
도봉구,창동,창동주공4단지,41.3,3,1991,46000,2026,9,2,중개거래
도봉구,방학동,청구아파트,84.97,6,1994,59000,2026,9,1,중개거래
도봉구,방학동,삼익세라믹아파트,42.93,4,1988,31800,2026,9,1,중개거래
도봉구,쌍문동,삼익세라믹,58.77,5,1988,42800,2026,9,1,중개거래
노원구,상계동,상계주공7(고층),45.9,14,1988,64000,2026,9,5,중개거래
노원구,공릉동,동신아파트,59.99,15,1999,62000,2026,9,4,중개거래
노원구,상계동,포레나노원,84.957,3,2020,129000,2026,9,3,중개거래
노원구,하계동,아주,76.59,3,2002,41800,2026,9,1,중개거래
은평구,구산동,산호,68.46,2,2004,40000,2026,9,5,중개거래
은평구,갈현동,메카,84.3,9,2001,50000,2026,9,5,중개거래
은평구,불광동,북한산현대힐스테이트3차아파트,84.96,9,2010,105000,2026,9,5,중개거래
은평구,녹번동,예원(86-126),93.74,5,2004,55000,2026,9,5,중개거래
은평구,구산동,갈현현대,114.95,1,1998,69500,2026,9,5,중개거래
은평구,녹번동,힐스테이트녹번,59.938,6,2019,128000,2026,9,5,중개거래
은평구,불광동,남해그린힐,84.42,6,2001,55000,2026,9,4,중개거래
은평구,응암동,미가마하나임,50.25,6,2026,64360,2026,9,2,직거래
은평구,응암동,미가마하나임,52.66,6,2026,62859,2026,9,2,직거래
은평구,응암동,미가마하나임,52.66,6,2026,64157,2026,9,2,직거래
은평구,응암동,미가마하나임,50.25,6,2026,64360,2026,9,2,직거래
은평구,응암동,미가마하나임,50.25,7,2026,64360,2026,9,2,직거래
은평구,응암동,미가마하나임,52.66,7,2026,62859,2026,9,2,직거래
은평구,응암동,미가마하나임,52.66,7,2026,64157,2026,9,2,직거래
은평구,응암동,미가마하나임,50.25,7,2026,64360,2026,9,2,직거래
은평구,응암동,미가마하나임,50.25,8,2026,64360,2026,9,2,직거래
은평구,응암동,미가마하나임,52.66,8,2026,62859,2026,9,2,직거래
은평구,응암동,미가마하나임,52.66,8,2026,64157,2026,9,2,직거래
은평구,응암동,미가마하나임,50.25,8,2026,64360,2026,9,2,직거래
은평구,응암동,미가마하나임,50.25,9,2026,64360,2026,9,2,직거래
은평구,응암동,미가마하나임,52.66,9,2026,62859,2026,9,2,직거래
은평구,응암동,미가마하나임,52.66,9,2026,64157,2026,9,2,직거래
은평구,응암동,미가마하나임,50.25,9,2026,64360,2026,9,2,직거래
은평구,응암동,미가마하나임,50.25,10,2026,64360,2026,9,2,직거래
은평구,응암동,미가마하나임,52.66,10,2026,62859,2026,9,2,직거래
