구,법정동,아파트명,전용면적,층,건축년도,보증금,월세,년,월,일
종로구,평동,경희궁자이(3단지),84.8359,8,2017,25000,370,2026,7,17
종로구,평창동,삼성,59.97,9,1998,31256,0,2026,7,24
종로구,숭인동,블루버드숭인,27.3,15,2023,30000,25,2026,7,23
종로구,창신동,창신쌍용2,79.87,11,1993,40000,8,2026,7,23
종로구,내수동,경희궁의아침4단지,124.17,14,2004,145000,0,2026,7,23
종로구,창신동,동문상가,36.56,6,1970,13000,0,2026,7,11
종로구,신영동,대아파크빌,59.22,8,1998,37000,0,2026,7,23
종로구,무악동,현대,60,4,2000,59000,0,2026,7,22
종로구,창신동,창신쌍용1,54.7,4,1992,5000,135,2026,7,10
종로구,숭인동,청계로벤하임,20.321,11,2023,18410,2,2026,7,2
종로구,평동,경희궁자이(3단지),84.8359,19,2017,10000,420,2026,7,22
종로구,숭인동,COZY빌딩,15.306,8,2013,2000,60,2026,7,13
종로구,행촌동,경희궁자이(1단지),39.0561,16,2017,14720,58,2026,7,21
종로구,홍파동,경희궁자이(2단지),84.9895,11,2017,120000,0,2026,7,4
종로구,숭인동,에비뉴청계Ⅰ,16.01,11,2023,1000,90,2026,7,21
종로구,행촌동,경희궁자이(1단지),39.0561,15,2017,14720,58,2026,7,20
종로구,숭인동,종로센트레빌,114.67,9,2008,80000,0,2026,7,16
종로구,숭인동,숭인모범102동,59.8,5,2000,27000,10,2026,7,11
종로구,홍파동,경희궁자이(2단지),84.8359,14,2017,20000,430,2026,7,20
종로구,창신동,창신쌍용1,54.7,10,1992,42000,0,2026,7,15
종로구,평동,경희궁자이(3단지),84.8359,3,2017,90000,70,2026,7,17
종로구,창신동,창신쌍용1,79.87,2,1992,53000,0,2026,7,20
종로구,교북동,경희궁자이(4단지),37.2635,7,2017,65000,0,2026,7,17
종로구,효제동,포레스트힐시티,16.672,9,2017,1000,60,2026,7,13
종로구,홍파동,경희궁자이(2단지),84.8359,17,2017,118650,0,2026,7,14
종로구,무악동,경희궁롯데캐슬,84.8792,9,2019,105000,0,2026,7,16
종로구,숭인동,숭인모범102동,59.74,1,2000,19000,10,2026,7,11
종로구,효제동,이지마루종로,17.73,11,2021,2000,120,2026,7,16
종로구,창신동,창신쌍용1,54.7,9,1992,33600,0,2026,7,11
종로구,숭인동,영하우스,18.94,12,2015,4712,43,2026,7,10
종로구,숭인동,숭인한양LEEPS,12.78,2,2014,8100,12,2026,7,14
종로구,효제동,포레스트힐시티,15.879,11,2017,1000,80,2026,7,11
종로구,숭인동,종로센트레빌,84.92,11,2008,10000,220,2026,7,14
종로구,충신동,CS타워,22.17,11,2011,4000,60,2026,7,13
종로구,명륜2가,명륜동주상복합아남아파트,65.78,8,1999,33000,110,2026,7,8
종로구,숭인동,롯데캐슬천지인,111.73,11,2004,85000,0,2026,7,14
종로구,충신동,힐스테이트창경궁,84.95,5,2022,94000,0,2026,7,10
종로구,내수동,경희궁의아침3단지,150.48,15,2004,10000,525,2026,7,11
종로구,창신동,창신쌍용1,54.7,6,1992,3000,150,2026,7,11
종로구,홍파동,경희궁자이(2단지),84.614,3,2017,120750,0,2026,7,14
종로구,숭인동,롯데캐슬천지인,111.73,11,2004,85000,0,2026,7,14
종로구,무악동,인왕산2차아이파크,84.4541,5,2015,80000,0,2026,7,3
종로구,명륜2가,아남1,84.9,6,1995,73000,0,2026,7,3
종로구,숭인동,영하우스,20.27,9,2015,2000,58,2026,7,7
종로구,익선동,현대뜨레비앙,28.1,8,2003,21000,0,2026,7,10
종로구,숭인동,종로센트레빌,59.92,12,2008,60000,0,2026,7,9
종로구,통인동,효자,43.31,5,1999,500,34,2026,7,9
종로구,명륜1가,건양하늘터,82.63,1,2006,67000,0,2026,7,9
종로구,무악동,경희궁롯데캐슬,110.856,8,2019,2000,90,2026,7,8
종로구,평동,경희궁자이(3단지),84.8359,5,2017,100000,60,2026,7,9
종로구,홍파동,경희궁자이(2단지),84.8359,20,2017,65000,240,2026,7,4
종로구,홍파동,경희궁자이(2단지),84.8359,1,2017,125000,0,2026,7,2
종로구,홍파동,경희궁자이(2단지),84.9071,10,2017,120000,0,2026,7,9
종로구,명륜2가,명륜동주상복합아남아파트,50.49,4,1999,5000,160,2026,7,9
종로구,숭인동,종로센트레빌,59.92,11,2008,60000,0,2026,7,6
종로구,창신동,동대문,28.8,6,1966,13000,0,2026,7,6
종로구,평동,경희궁자이(3단지),59.8547,13,2017,94000,0,2026,7,3
종로구,창신동,창신쌍용2,79.87,7,1993,32500,35,2026,7,7
종로구,무악동,인왕산아이파크,84.858,8,2008,79000,0,2026,7,7
종로구,평창동,일성빌라트,59.82,1,1996,38000,0,2026,7,7
종로구,충신동,힐스테이트창경궁,84.95,8,2022,100000,42,2026,7,6
종로구,홍파동,경희궁자이(2단지),84.9071,15,2017,130000,0,2026,7,7
종로구,창신동,동대문맨션,83.83,5,1973,20500,25,2026,7,2
종로구,창신동,창신쌍용1,79.87,10,1992,55000,0,2026,7,6
종로구,인의동,효성쥬얼리시티,84.7,10,2006,30000,150,2026,7,2
종로구,충신동,힐스테이트창경궁,84.97,11,2022,5000,370,2026,7,4
종로구,교북동,경희궁자이(4단지),33.982,9,2017,49000,0,2026,7,2
종로구,숭인동,청계로벤하임,20.321,11,2023,18410,2,2026,7,2
종로구,명륜2가,명륜동주상복합아남아파트,50.49,4,1999,55000,0,2026,7,2
종로구,홍파동,경희궁자이(2단지),84.614,15,2017,10000,440,2026,7,2
종로구,인의동,효성쥬얼리시티,92.81,10,2006,4000,210,2026,7,1
종로구,창신동,창신쌍용1,79.87,5,1992,10000,159,2026,7,1
중구,순화동,덕수궁롯데캐슬,69.5135,6,2016,81000,0,2026,7,1
중구,신당동,래미안하이베르,84.97,9,2011,75075,0,2026,7,10
중구,신당동,남산타운,59.94,4,2002,48000,40,2026,7,18
중구,입정동,힐스테이트세운센트럴2단지,45.9844,23,2023,5000,280,2026,7,7
중구,신당동,삼성,84.96,18,1999,70000,0,2026,7,23
중구,신당동,남산타운,59.94,3,2002,7000,106,2026,7,23
중구,신당동,래미안하이베르,84.85,4,2011,82500,0,2026,7,15
중구,신당동,남산타운,84.88,4,2002,10000,280,2026,7,24
중구,입정동,힐스테이트세운센트럴2단지,45.9844,15,2023,5000,165,2026,7,22
중구,장충동2가,파크원빌,13.51,7,2011,1000,65,2026,7,22
중구,신당동,약수하이츠,84.88,5,1999,10000,270,2026,7,9
중구,만리동2가,서울역센트럴자이,84.972,3,2017,30000,280,2026,7,23
중구,신당동,청구e편한세상,84.96,2,2011,10000,340,2026,7,18
중구,신당동,남산타운,59.94,13,2002,8000,220,2026,7,10
중구,인현동2가,세운푸르지오헤리시티,24.5533,23,2023,5000,150,2026,7,21
중구,신당동,남산타운,84.88,5,2002,32000,165,2026,7,7
중구,회현동1가,SK리더스뷰남산,137.53,20,2010,134000,0,2026,7,15
중구,황학동,롯데캐슬,114.9,11,2008,75600,0,2026,7,22
중구,회현동1가,SK리더스뷰남산,145.79,18,2010,0,735,2026,7,2
중구,만리동2가,서울역센트럴자이,39.9541,8,2017,14560,59,2026,7,22
중구,신당동,래미안하이베르,84.97,9,2011,75075,0,2026,7,10
중구,흥인동,리마크빌동대문,24.25,5,2016,1000,87,2026,7,16
중구,황학동,롯데캐슬,84.9,27,2008,45000,0,2026,7,17
중구,황학동,롯데캐슬,114.9,10,2008,10000,300,2026,7,2
중구,신당동,한진해모로,59.76,2,2001,53500,0,2026,7,21
중구,황학동,롯데캐슬,33.62,20,2008,2293,26,2026,7,21
중구,오장동,서제빌딩,21.45,8,2014,1000,66,2026,7,21
중구,황학동,롯데캐슬,33.62,9,2008,4909,26,2026,7,21
중구,신당동,현대,83.97,2,1993,60000,0,2026,7,21
중구,만리동2가,서울역센트럴자이,72.9733,4,2017,36000,171,2026,7,20
중구,신당동,약수하이츠,84.88,8,1999,80000,0,2026,7,10
중구,충무로5가,이지마루충무로,28.43,12,2020,25000,30,2026,7,21
중구,신당동,삼성,84.96,15,1999,68200,0,2026,7,17
중구,황학동,롯데캐슬,59.94,17,2008,59000,0,2026,7,18
중구,정동,삼정아트테라스정동,27.2434,3,2020,35000,0,2026,7,18
중구,만리동2가,서울역센트럴자이,72.9932,10,2017,40000,155,2026,7,18
중구,만리동2가,서울역센트럴자이,84.972,9,2017,105000,0,2026,7,18
중구,만리동2가,서울역센트럴자이,59.943,19,2017,85000,0,2026,7,17
중구,신당동,약수하이츠,57.63,6,1999,48300,0,2026,7,18
중구,신당동,삼성,84.96,13,1999,70000,0,2026,7,17
중구,만리동2가,서울역센트럴자이,39.9541,16,2017,14560,59,2026,7,20
중구,인현동2가,세운푸르지오헤리시티,28.4064,4,2023,31000,0,2026,7,13
중구,만리동2가,서울역센트럴자이,39.9541,10,2017,14560,59,2026,7,20
중구,신당동,남산타운,59.94,5,2002,57000,0,2026,7,17
중구,만리동2가,서울역센트럴자이,59.943,16,2017,60000,60,2026,7,18
중구,신당동,래미안하이베르,59.95,11,2011,74000,0,2026,7,17
중구,신당동,남산타운,59.94,18,2002,10000,230,2026,7,16
중구,황학동,한양I-Class,16.37,13,2013,500,75,2026,7,17
중구,신당동,삼성,84.96,1,1999,62000,0,2026,7,15
중구,황학동,황학아크로타워,134.301,15,2010,97650,0,2026,7,4
중구,묵정동,힐스테이트남산,46.65,4,2024,5000,252,2026,7,8
중구,황학동,골드캐슬Ⅲ,29.52,8,2017,22500,35,2026,7,16
중구,신당동,현대,83.97,6,1993,30000,130,2026,7,14
중구,신당동,남산정은스카이,143.049,8,2005,10000,400,2026,7,15
중구,신당동,삼성,114.91,7,1999,10500,280,2026,7,15
중구,신당동,삼성,114.91,3,1999,2737,15,2026,7,15
중구,신당동,동산빌라(2차),54.46,4,2001,1000,20,2026,7,14
중구,만리동2가,서울역센트럴자이,72.8899,19,2017,87000,0,2026,7,4
중구,신당동,현대,66.6,9,1993,5000,179,2026,7,14
중구,신당동,남산타운,114.88,5,2002,85000,0,2026,7,15
중구,황학동,롯데캐슬,84.97,24,2008,5000,270,2026,7,15
중구,황학동,골드캐슬Ⅲ,29.52,13,2017,22000,40,2026,7,14
중구,인현동2가,세운푸르지오헤리시티,29.4564,17,2023,5000,150,2026,7,14
중구,신당동,약수하이츠,57.63,12,1999,51000,0,2026,7,1
중구,황학동,한양I-Class,16.37,15,2013,1000,73,2026,7,13
중구,신당동,약수하이츠,65.37,17,1999,64050,0,2026,7,8
중구,신당동,삼성,84.96,4,1999,65000,0,2026,7,14
중구,신당동,약수하이츠,57.63,13,1999,61000,0,2026,7,11
중구,만리동2가,서울역센트럴자이,59.943,18,2017,88000,0,2026,7,11
중구,황학동,롯데캐슬,59.91,17,2008,53800,0,2026,7,9
중구,인현동2가,세운푸르지오헤리시티,40.7637,12,2023,15750,120,2026,7,10
중구,황학동,위너빌(Winnervill),28.78,7,2018,29000,0,2026,7,13
중구,신당동,남산타운,59.94,15,2002,50400,0,2026,7,11
중구,신당동,약수하이츠,65.37,1,1999,59800,0,2026,7,6
중구,만리동2가,서울역한라비발디센트럴,71.9832,4,2018,77700,0,2026,7,10
중구,신당동,(432-904),56.66,5,2001,13000,0,2026,7,11
중구,신당동,남산타운,84.88,14,2002,79500,0,2026,7,11
중구,흥인동,동대문와이즈캐슬,15.55,9,2014,1000,75,2026,7,6
중구,만리동2가,서울역센트럴자이,47.4739,16,2017,4333,19,2026,7,10
중구,황학동,DUO302,15.97,9,2014,1000,70,2026,7,4
중구,흥인동,위더스하임,16.18,12,2018,18600,10,2026,7,10
중구,인현동2가,세운푸르지오헤리시티,28.4064,17,2023,31500,0,2026,7,8
중구,정동,삼정아트테라스정동,17.7034,7,2020,2000,125,2026,7,10
중구,신당동,남산타운,59.94,18,2002,31500,105,2026,7,9
중구,신당동,남산정은스카이,143.049,12,2005,80000,0,2026,7,9
중구,신당동,남산정은스카이,143.049,12,2005,80000,0,2026,7,9
중구,신당동,약수하이츠,57.63,1,1999,44100,0,2026,7,3
중구,충무로4가,남산센트럴자이,139.936,29,2009,120000,0,2026,7,7
중구,황학동,롯데캐슬,114.9,28,2008,78500,0,2026,7,9
중구,신당동,현대,122.275,6,1993,65000,0,2026,7,4
중구,신당동,약수하이츠,84.88,7,1999,50000,90,2026,7,6
중구,신당동,현대,66.6,15,1993,40000,0,2026,7,3
중구,흥인동,동대문와이즈캐슬,15.55,8,2014,500,74,2026,7,7
중구,황학동,한양I-Class,16.37,17,2013,1000,73,2026,7,8
중구,인현동2가,세운푸르지오헤리시티,28.4064,9,2023,5000,130,2026,7,3
중구,신당동,청구e편한세상,84.95,8,2011,110000,0,2026,7,7
중구,입정동,힐스테이트세운센트럴1단지,46.6997,21,2023,5000,260,2026,7,8
중구,만리동2가,서울역센트럴자이,59.943,6,2017,35000,190,2026,7,3
중구,신당동,남산타운,114.88,13,2002,78750,0,2026,7,1
중구,충무로4가,남산센트럴자이,114.84,15,2009,90000,50,2026,7,6
중구,황학동,롯데캐슬,114.9,30,2008,50000,150,2026,7,7
중구,신당동,남산타운,84.88,12,2002,73500,0,2026,7,7
중구,만리동2가,서울역한라비발디센트럴,84.9728,7,2018,5000,330,2026,7,6
중구,만리동2가,서울역센트럴자이,59.943,3,2017,30100,180,2026,7,5
중구,만리동2가,서울역센트럴자이,72.9965,24,2017,84000,0,2026,7,6
중구,충무로4가,진양상가,78.28,9,1970,30000,0,2026,7,4
중구,황학동,롯데캐슬,84.89,19,2008,67200,0,2026,7,6
중구,충무로5가,충무로엘크루메크로시티2차,22.75,12,2016,1000,85,2026,7,4
중구,신당동,남산타운,84.88,6,2002,73500,0,2026,7,4
중구,충무로4가,남산센트럴자이,89.307,27,2009,5000,480,2026,7,3
중구,황학동,롯데캐슬,59.91,14,2008,60000,0,2026,7,2
중구,황학동,롯데캐슬,59.91,27,2008,5000,240,2026,7,5
중구,신당동,래미안하이베르,59.74,8,2011,72000,0,2026,7,4
중구,신당동,남산타운,84.88,5,2002,68000,0,2026,7,2
중구,인현동2가,세운푸르지오헤리시티,24.5533,14,2023,5000,110,2026,7,2
중구,충무로4가,남산센트럴자이,80.473,9,2009,36750,158,2026,7,2
중구,황학동,롯데캐슬,114.9,10,2008,10000,300,2026,7,2
중구,중림동,삼성사이버빌리지,114.77,8,2001,105000,0,2026,7,1
중구,신당동,현대,122.275,15,1993,50900,0,2026,7,1
중구,충무로5가,충무로엘크루메크로시티2차,22.75,15,2016,19000,0,2026,7,1
중구,신당동,약수하이츠,114.92,5,1999,78000,0,2026,7,1
용산구,용문동,브라운스톤,59.94,1,2011,50000,23,2026,7,17
용산구,산천동,리버힐삼성,114.48,18,2001,30000,230,2026,7,11
용산구,산천동,리버힐삼성,84.98,2,2001,75000,0,2026,7,11
용산구,원효로4가,강변삼성스위트,84.9,8,1999,20000,230,2026,7,9
용산구,도원동,삼성래미안,114.99,19,2001,45000,200,2026,7,6
용산구,이촌동,이촌코오롱(A),59.82,4,1999,10000,210,2026,7,10
용산구,도원동,삼성래미안,59.94,9,2001,61400,0,2026,7,11
용산구,효창동,용산데시앙포레,84.9956,1,2022,60000,0,2026,7,24
용산구,이촌동,강촌,59.12,11,1998,40000,85,2026,7,15
용산구,이태원동,청화1,174.38,6,1982,10000,450,2026,7,4
용산구,용산동5가,용산파크타워(24-1),99.09,19,2009,0,540,2026,7,24
용산구,이촌동,왕궁,102.48,2,1974,55650,0,2026,7,24
용산구,한강로3가,우림필유,84.99,10,2006,50000,110,2026,7,24
용산구,원효로1가,용산더프라임,114.218,25,2014,118000,0,2026,7,16
용산구,한남동,대성이태리하우스,64.65,2,2006,73000,0,2026,7,24
용산구,한강로2가,아스테리움용산,191.11,25,2012,0,1460,2026,7,16
용산구,한강로3가,센트럴파크,135.3849,19,2020,0,1155,2026,7,21
용산구,이촌동,동아그린,114.96,14,1999,68250,0,2026,7,18
용산구,한남동,한남힐스테이트,84.757,13,2003,78000,20,2026,7,23
용산구,한강로2가,용산베르디움프렌즈,48.9018,28,2021,19323,36,2026,7,22
용산구,이촌동,현대한강,84.88,15,1997,76600,0,2026,7,7
용산구,문배동,CJ나인파크,123.47,11,2007,103000,0,2026,7,15
용산구,용문동,브라운스톤,84.98,7,2011,76600,0,2026,7,23
용산구,문배동,이안용산프리미어,109.74,13,2007,82000,0,2026,7,23
용산구,이촌동,대림,59.22,20,1994,30000,0,2026,7,23
용산구,원효로1가,용산원효루미니,33.9588,14,2022,13533,62,2026,7,23
용산구,효창동,용산케이씨씨스위첸,59.97,10,2018,81900,0,2026,7,10
용산구,원효로1가,용산원효루미니,43.9656,7,2022,17344,80,2026,7,23
용산구,한남동,한남동리첸시아,32.21,11,2004,1000,167,2026,7,13
용산구,후암동,후암미주,62.78,2,1980,26250,0,2026,7,19
용산구,서빙고동,신동아,166.98,12,1984,115500,0,2026,7,22
