구,법정동,아파트명,전용면적,층,건축년도,보증금,월세,년,월,일
종로구,숭인동,블루빌,42.25,5,2017,25000,0,2026,4,15
종로구,명륜1가,방산아파트,32.53,2,1995,1000,100,2026,4,1
종로구,평창동,롯데낙천대,84.82,11,2001,72000,0,2026,4,4
종로구,내수동,경희궁파크팰리스,146.39,15,2003,150000,0,2026,4,13
종로구,내수동,경희궁의아침4단지,124.17,6,2004,60000,280,2026,4,30
종로구,숭인동,종로중흥S클래스,19.466,16,2013,500,75,2026,4,16
종로구,익선동,현대뜨레비앙,45.5,7,2003,24000,30,2026,4,24
종로구,숭인동,삼전솔하임4차,15.09,12,2014,1000,60,2026,4,10
종로구,사직동,광화문스페이스본(101동~105동),146.92,6,2008,2000,450,2026,4,24
종로구,홍파동,경희궁자이(2단지),59.8547,6,2017,69500,0,2026,4,17
종로구,익선동,현대뜨레비앙,48.54,2,2003,1000,100,2026,4,14
종로구,창신동,창신쌍용1,54.7,10,1992,47000,0,2026,4,9
종로구,창신동,두산,59.95,17,1999,41500,0,2026,4,25
종로구,숭인동,에비뉴청계Ⅱ,17.36,14,2025,1000,100,2026,4,25
종로구,사직동,광화문스페이스본(101동~105동),70.8,7,2008,20000,220,2026,4,6
종로구,효제동,포레스트힐시티,16.672,9,2017,500,90,2026,4,22
종로구,사직동,광화문스페이스본(101동~105동),108.55,1,2008,50000,220,2026,4,18
종로구,인의동,효성쥬얼리시티,103.62,7,2006,40000,200,2026,4,15
종로구,내수동,경희궁의아침3단지,150.48,10,2004,170000,0,2026,4,15
종로구,효제동,이지마루종로,20.87,16,2021,1000,145,2026,4,30
종로구,홍파동,경희궁자이(2단지),84.9339,5,2017,125000,0,2026,4,20
종로구,충신동,힐스테이트창경궁,63.09,7,2022,5000,240,2026,4,16
종로구,홍파동,경희궁자이(2단지),84.614,20,2017,130000,0,2026,4,26
종로구,홍파동,경희궁자이(2단지),59.895,7,2017,60000,160,2026,4,6
종로구,교북동,경희궁자이(4단지),45.879,11,2017,10000,250,2026,4,30
종로구,숭인동,블루버드숭인,28.21,11,2023,30000,15,2026,4,22
종로구,홍파동,경희궁자이(2단지),84.614,4,2017,112000,0,2026,4,30
종로구,사직동,광화문스페이스본(101동~105동),70.8,11,2008,10000,280,2026,4,15
종로구,낙원동,낙원,65.92,14,1968,3000,150,2026,4,18
종로구,홍파동,경희궁자이(2단지),84.9443,13,2017,20000,440,2026,4,16
종로구,창신동,덕산,59.28,4,1999,25000,0,2026,4,1
종로구,명륜2가,명륜동주상복합아남아파트,59.36,2,1999,45000,0,2026,4,12
종로구,홍파동,경희궁자이(2단지),84.614,20,2017,130000,0,2026,4,26
종로구,숭인동,종로유케이201,12.01,8,2013,500,55,2026,4,23
