구,법정동,아파트명,전용면적,층,건축년도,보증금,월세,년,월,일
종로구,홍파동,경희궁자이(2단지),84.614,5,2017,130000,0,2026,8,21
종로구,사직동,광화문스페이스본(101동~105동),131.44,12,2008,160000,0,2026,8,18
종로구,창신동,창신쌍용1,79.87,7,1992,47000,0,2026,8,21
종로구,숭인동,COZY빌딩,15.306,6,2013,1000,60,2026,8,20
종로구,숭인동,종로중흥S클래스,19.466,5,2013,525,63,2026,8,19
종로구,효제동,이지마루종로,26.64,10,2021,1000,157,2026,8,18
종로구,숭인동,종로중흥S클래스,19.466,16,2013,1000,68,2026,8,14
종로구,무악동,현대,60,5,2000,6000,200,2026,8,19
종로구,창신동,두산,59.95,3,1999,52500,0,2026,8,17
종로구,숭인동,맹그로브숭인,72.64,3,2020,300,64,2026,8,3
종로구,평동,경희궁자이(3단지),84.614,3,2017,120000,0,2026,8,18
종로구,숭인동,종로청계힐스테이트,59.9426,1,2009,46000,0,2026,8,4
종로구,창신동,창신쌍용2,64.66,12,1993,39900,0,2026,8,17
종로구,충신동,힐스테이트창경궁,84.97,13,2022,5000,380,2026,8,15
종로구,홍파동,경희궁자이(2단지),84.9895,3,2017,110000,60,2026,8,8
종로구,평동,경희궁자이(3단지),84.614,18,2017,50000,280,2026,8,14
종로구,신문로2가,디팰리스,148.111,10,2020,280000,0,2026,8,11
종로구,숭인동,종로센트레빌,114.67,9,2008,80000,0,2026,8,6
종로구,익선동,운현신화타워,57.18,10,1998,3000,140,2026,8,3
종로구,사직동,광화문스페이스본(101동~105동),94.51,3,2008,40000,240,2026,8,13
종로구,신영동,대아파크빌,59.22,4,1998,4000,130,2026,8,8
종로구,숭인동,청계로벤하임,34.791,13,2023,25610,2,2026,8,12
종로구,숭인동,삼전솔하임4차,15.09,16,2014,1000,55,2026,8,4
종로구,숭인동,청계로벤하임,30.96,7,2023,13400,50,2026,8,12
종로구,평동,경희궁자이(3단지),84.614,3,2017,110000,0,2026,8,11
종로구,창신동,창신쌍용1,79.87,12,1992,50000,35,2026,8,11
종로구,숭인동,삼전솔하임4차,15.09,16,2014,1000,65,2026,8,5
종로구,교북동,동아,84.28,11,1995,44000,45,2026,8,8
종로구,창신동,창신쌍용2,115.53,3,1993,20000,210,2026,8,6
종로구,명륜3가,(1-102),70.05,1,1997,8000,40,2026,8,8
종로구,창신동,두산,84.9,12,1999,65000,0,2026,8,9
종로구,홍파동,경희궁자이(2단지),59.895,15,2017,114000,0,2026,8,9
종로구,숭인동,종로센트레빌,59.92,2,2008,28000,46,2026,8,8
종로구,내수동,경희궁의아침4단지,124.17,13,2004,115000,50,2026,8,6
종로구,숭인동,종로센트레빌,114.67,9,2008,80000,0,2026,8,6
종로구,평동,경희궁자이(3단지),84.8359,5,2017,130000,0,2026,8,1
종로구,창신동,창신쌍용2,79.87,14,1993,45000,0,2026,8,5
종로구,익선동,현대뜨레비앙,48.54,7,2003,26000,40,2026,8,4
종로구,충신동,힐스테이트창경궁,76.82,14,2022,44000,180,2026,8,1
종로구,교북동,경희궁자이(4단지),45.879,13,2017,14269,166,2026,8,1
종로구,교북동,경희궁자이(4단지),37.2635,13,2017,5000,200,2026,8,1
종로구,창신동,창신쌍용1,79.87,4,1992,58000,0,2026,8,1
종로구,창신동,창신쌍용1,79.87,4,1992,37000,0,2026,8,3
종로구,익선동,현대뜨레비앙,46.64,4,2003,30000,0,2026,8,1
중구,신당동,남산타운,59.94,18,2002,53550,0,2026,8,21
중구,신당동,약수역더시티,19.06,4,2021,22000,0,2026,8,21
중구,신당동,신당아르브,16.87,7,2014,11000,40,2026,8,20
중구,신당동,수산타운(2차),32.86,1,2001,9600,0,2026,8,20
중구,중림동,삼성사이버빌리지,76.83,1,2001,41000,20,2026,8,21
중구,신당동,남산타운,84.88,6,2002,80000,0,2026,8,11
중구,신당동,남산타운,114.88,18,2002,31000,280,2026,8,19
중구,신당동,삼성,84.96,6,1999,10000,240,2026,8,19
중구,회현동1가,SK리더스뷰남산,137.53,25,2010,150000,0,2026,8,21
중구,신당동,신당아르브,16.87,7,2014,11,40,2026,8,20
중구,인현동2가,세운푸르지오헤리시티,29.4564,22,2023,5000,140,2026,8,21
중구,신당동,남산타운,114.88,2,2002,77700,0,2026,8,8
중구,중림동,더플레이스충정로,17.68,4,2012,1000,73,2026,8,14
중구,정동,정동,46.26,5,1965,39000,0,2026,8,6
중구,신당동,신당파인힐하나유보라,32.5619,15,2019,4112,83,2026,8,5
중구,정동,삼정아트테라스정동,14.2664,5,2020,16000,32,2026,8,11
중구,신당동,남산타운,84.88,2,2002,30000,180,2026,8,20
중구,입정동,힐스테이트세운센트럴2단지,45.9844,19,2023,5000,250,2026,8,20
중구,입정동,힐스테이트세운센트럴1단지,59.6641,7,2023,12000,410,2026,8,10
중구,황학동,(1546-0),29.35,7,2015,1000,130,2026,8,15
중구,신당동,삼성,59.98,15,1999,62000,0,2026,8,15
중구,신당동,동평화패션타운,66.32,6,1968,1000,110,2026,8,17
중구,신당동,약수하이츠,65.37,3,1999,21000,90,2026,8,15
중구,신당동,래미안하이베르,59.74,15,2011,10000,250,2026,8,15
중구,인현동2가,세운푸르지오헤리시티,28.4064,12,2023,33000,0,2026,8,19
중구,입정동,힐스테이트세운센트럴1단지,59.6641,16,2023,5000,440,2026,8,13
중구,묵정동,힐스테이트남산,44.55,2,2024,5000,250,2026,8,12
중구,회현동2가,쌍용남산플래티넘,139.8,16,2010,1000,690,2026,8,12
중구,황학동,롯데캐슬,59.94,19,2008,63000,0,2026,8,18
중구,중림동,삼성사이버빌리지,84.95,12,2001,69010,0,2026,8,15
중구,신당동,남산타운,59.94,12,2002,57750,0,2026,8,17
중구,신당동,약수하이츠,65.37,12,1999,64000,0,2026,8,12
중구,만리동2가,서울역센트럴자이,59.9707,15,2017,5000,340,2026,8,13
중구,만리동2가,서울역센트럴자이,84.972,6,2017,95000,0,2026,8,17
중구,신당동,남산타운,84.88,7,2002,72000,0,2026,8,15
중구,신당동,남산타운,59.94,5,2002,47000,29,2026,8,15
중구,신당동,남산타운,59.94,18,2002,60000,0,2026,8,14
중구,신당동,삼성,59.97,4,1999,54000,0,2026,8,15
중구,황학동,황학아크로타워,84.965,16,2010,85000,0,2026,8,17
중구,만리동2가,서울역센트럴자이,84.972,20,2017,99750,0,2026,8,13
중구,신당동,남산타운,59.94,11,2002,53250,0,2026,8,8
중구,정동,삼정아트테라스정동,20.0525,9,2020,34000,0,2026,8,11
중구,만리동2가,서울역한라비발디센트럴,84.9774,2,2018,94500,0,2026,8,14
중구,중림동,리하우스(LEEHAUS),43.056,1,2011,10000,69,2026,8,10
중구,신당동,남산타운,114.88,14,2002,95000,0,2026,8,11
중구,신당동,약수하이츠,57.63,18,1999,65000,0,2026,8,11
