구,법정동,아파트명,전용면적,층,건축년도,보증금,월세,년,월,일
종로구,숭인동,종로센트레빌,59.92,4,2008,52500,0,2026,6,20
종로구,무악동,경희궁롯데캐슬,84.8792,10,2019,108000,0,2026,6,8
종로구,평동,경희궁자이(3단지),59.7547,5,2017,95000,20,2026,6,25
종로구,숭인동,숭인한양LEEPS,12.78,10,2014,5000,37,2026,6,11
종로구,필운동,사직파크맨션,99.17,5,1973,52500,0,2026,6,29
종로구,연지동,아르젠종로,14.21,10,2015,1000,60,2026,6,17
종로구,사직동,광화문스페이스본(101동~105동),97.61,1,2008,96000,0,2026,6,27
종로구,창신동,창신쌍용2,79.87,12,1993,5000,170,2026,6,30
종로구,낙원동,삼일주택,13.64,2,2013,1000,65,2026,6,19
종로구,사직동,광화문스페이스본(101동~105동),160.85,14,2008,10000,470,2026,6,20
종로구,숭인동,종로아인스빌,12.15,11,2013,3000,47,2026,6,22
종로구,숭인동,삼전솔하임4차,15.09,14,2014,3000,55,2026,6,27
종로구,창신동,창신쌍용1,79.87,12,1992,10000,150,2026,6,24
종로구,숭인동,종로동광모닝스카이,15.855,9,2013,10000,0,2026,6,6
종로구,창신동,창신쌍용2,106.62,1,1993,50000,0,2026,6,27
종로구,내수동,킹스매너,201.82,1,2004,1100,1100,2026,6,29
종로구,숭인동,종로유케이201,12.09,12,2013,500,57,2026,6,23
종로구,평창동,삼성,84.93,8,1998,55000,0,2026,6,15
종로구,숭인동,영하우스,16.59,11,2015,1000,59,2026,6,22
종로구,창신동,두산,84.9,16,1999,20000,220,2026,6,6
종로구,사직동,광화문스페이스본(106동),153.42,4,2008,130000,0,2026,6,23
종로구,홍파동,경희궁자이(2단지),84.9443,1,2017,135000,0,2026,6,15
종로구,행촌동,경희궁자이(1단지),39.0561,9,2017,11776,64,2026,6,15
종로구,평창동,롯데낙천대,133.34,13,2001,30000,200,2026,6,27
종로구,숭인동,종로동광모닝스카이,15.855,15,2013,500,70,2026,6,27
종로구,평동,경희궁자이(3단지),84.8359,13,2017,80000,200,2026,6,17
종로구,무악동,현대,114.9,5,2000,64000,0,2026,6,26
종로구,행촌동,경희궁자이(1단지),44.026,12,2017,8801,9,2026,6,8
종로구,숭인동,영하우스,16.59,10,2015,4560,42,2026,6,12
종로구,교북동,경희궁자이(4단지),33.982,6,2017,6000,170,2026,6,10
종로구,교북동,경희궁자이(4단지),37.2635,9,2017,10000,220,2026,6,28
종로구,숭인동,영하우스,16.59,13,2015,2000,53,2026,6,29
종로구,숭인동,종로청계힐스테이트,59.9426,4,2009,10000,270,2026,6,30
종로구,숭인동,삼전솔하임2차,16.67,8,2012,1000,65,2026,6,27
종로구,숭인동,블루버드숭인,28.21,7,2023,3000,158,2026,6,2
종로구,창신동,브라운스톤창신,84.87,3,2006,56000,0,2026,6,3
종로구,사직동,광화문스페이스본(101동~105동),131.44,8,2008,5000,450,2026,6,10
종로구,평창동,삼성,59.97,15,1998,17000,108,2026,6,26
종로구,숭인동,종로센트레빌,84.92,9,2008,10000,200,2026,6,27
종로구,무악동,현대,114.9,8,2000,84000,0,2026,6,13
종로구,숭인동,종로동광모닝스카이,15.855,16,2013,500,65,2026,6,24
종로구,숭인동,종로중흥S클래스,17.811,9,2013,500,70,2026,6,8
종로구,창신동,창신이수,84.5,18,2003,60000,0,2026,6,26
종로구,창신동,창신쌍용1,79.87,12,1992,46500,0,2026,6,22
종로구,숭인동,에비뉴청계Ⅰ,16.23,16,2023,5000,75,2026,6,8
종로구,충신동,힐스테이트창경궁,84.96,8,2022,100000,0,2026,6,30
종로구,교북동,경희궁자이(4단지),37.2635,9,2017,15000,181,2026,6,30
종로구,홍파동,경희궁자이(2단지),59.8547,7,2017,80000,100,2026,6,30
종로구,평동,경희궁자이(3단지),84.614,16,2017,125000,0,2026,6,25
종로구,무악동,경희궁롯데캐슬,84.8792,12,2019,110000,0,2026,6,28
종로구,창신동,창신쌍용2,79.87,6,1993,49000,0,2026,6,19
종로구,평동,경희궁자이(3단지),84.8359,5,2017,123000,0,2026,6,29
종로구,숭인동,숭인한양LEEPS,12.78,8,2014,1000,65,2026,6,18
종로구,홍파동,경희궁자이(2단지),59.895,14,2017,30000,300,2026,6,29
종로구,숭인동,삼전솔하임2차,15,6,2012,500,54,2026,6,13
종로구,숭인동,삼전솔하임2차,15,9,2012,1000,70,2026,6,29
종로구,무악동,현대,84.92,12,2000,75000,0,2026,6,27
종로구,창신동,창신쌍용2,54.7,6,1993,36750,0,2026,6,14
종로구,숭인동,종로센트레빌,84.92,9,2008,10000,200,2026,6,27
종로구,평창동,벽산블루밍평창힐스,210.53,4,2004,135000,0,2026,6,13
종로구,낙원동,낙원,63.47,13,1968,15000,0,2026,6,22
종로구,창신동,창신쌍용2,54.7,6,1993,36750,0,2026,6,14
종로구,숭인동,종로동광모닝스카이,15.855,16,2013,1000,70,2026,6,17
종로구,숭인동,에비뉴청계Ⅰ,16.01,16,2023,3000,90,2026,6,25
종로구,내수동,경희궁의아침3단지,149,11,2004,0,578,2026,6,25
종로구,숭인동,블루버드숭인,28.21,12,2023,35500,0,2026,6,2
종로구,창신동,MID그린(8동),59.01,6,2002,25000,0,2026,6,13
종로구,숭인동,종로유케이201,12.08,10,2013,7200,0,2026,6,18
종로구,명륜2가,아남1,84.8,15,1995,71700,0,2026,6,25
종로구,홍파동,경희궁자이(2단지),84.8359,13,2017,125000,0,2026,6,13
종로구,당주동,세종,104.73,5,1983,63000,0,2026,6,17
종로구,창신동,동대문,28.8,4,1966,1000,70,2026,6,23
종로구,숭인동,숭인모범105동,59.74,1,2000,21000,10,2026,6,25
종로구,창신동,창신쌍용2,106.62,12,1993,45000,50,2026,6,16
종로구,익선동,현대뜨레비앙,48.54,3,2003,1000,105,2026,6,4
종로구,무악동,인왕산2차아이파크,112.5301,6,2015,5000,270,2026,6,24
종로구,숭인동,종로동광모닝스카이,15.855,16,2013,500,65,2026,6,10
종로구,숭인동,숭인모범101동,59.64,7,2000,28000,10,2026,6,24
종로구,숭인동,블루버드숭인,28.21,8,2023,15000,98,2026,6,8
종로구,숭인동,종로센트레빌,84.92,7,2008,60000,0,2026,6,12
종로구,홍파동,경희궁자이(2단지),59.8655,3,2017,85330,0,2026,6,20
종로구,숭인동,숭인모범101동,59.7,3,2000,24000,10,2026,6,23
종로구,효제동,이지마루종로,19.31,5,2021,2000,120,2026,6,17
종로구,숭인동,종로중흥S클래스,17.811,6,2013,1000,64,2026,6,5
종로구,홍파동,경희궁자이(2단지),59.8547,17,2017,90000,50,2026,6,21
종로구,평동,경희궁자이(3단지),84.8359,12,2017,115000,0,2026,6,22
종로구,무악동,인왕산아이파크,84.858,4,2008,5000,320,2026,6,20
종로구,무악동,인왕산2차아이파크,84.068,8,2015,80000,0,2026,6,20
