구,법정동,아파트명,전용면적,층,건축년도,보증금,월세,년,월,일
종로구,창신동,창신쌍용1,54.7,4,1992,42000,0,2026,5,27
종로구,숭인동,블루버드숭인,27.3,10,2023,35000,0,2026,5,21
종로구,효제동,이지마루종로,24.44,7,2021,26800,26,2026,5,14
종로구,교북동,동아,59.98,2,1995,47000,0,2026,5,16
종로구,숭인동,영하우스,18.37,12,2015,4712,43,2026,5,27
종로구,창신동,창신쌍용1,54.7,8,1992,13000,80,2026,5,16
종로구,창신동,두산,59.95,14,1999,10000,137,2026,5,18
종로구,숭인동,종로아인스빌,12.15,10,2013,8400,21,2026,5,26
종로구,무악동,현대,60,4,2000,44961,0,2026,5,8
종로구,홍파동,경희궁자이(2단지),84.8359,17,2017,8000,500,2026,5,30
종로구,효제동,포레스트힐시티,16.672,8,2017,1000,85,2026,5,28
종로구,숭인동,종로센트레빌,114.67,4,2008,80000,0,2026,5,13
종로구,효제동,포레스트힐시티,14.1832,14,2017,1000,80,2026,5,28
종로구,효제동,이지마루종로,24.44,9,2021,3000,135,2026,5,30
종로구,창신동,두산,59.95,19,1999,5000,160,2026,5,30
종로구,숭인동,종로동광모닝스카이,15.855,11,2013,500,60,2026,5,28
종로구,숭인동,영하우스,21.91,7,2015,4940,45,2026,5,18
종로구,홍파동,경희궁자이(2단지),84.9071,14,2017,10000,490,2026,5,25
종로구,숭인동,숭인한양LEEPS,12.78,8,2014,500,65,2026,5,7
종로구,창신동,창신쌍용2,79.87,4,1993,33000,45,2026,5,27
종로구,숭인동,블루버드숭인,27.3,9,2023,3000,182,2026,5,22
종로구,숭인동,종로유케이201,12.01,9,2013,500,55,2026,5,25
종로구,숭인동,익성씨티하임,15.76,15,2013,500,67,2026,5,21
종로구,숭인동,청계로벤하임,39.995,12,2023,8640,87,2026,5,6
종로구,연건동,이화에수풀,16.98,4,2014,1000,87,2026,5,23
종로구,숭인동,종로유케이201,12.01,11,2013,500,55,2026,5,20
종로구,무악동,현대,84.92,5,2000,60000,0,2026,5,30
종로구,무악동,무악다온채,84.82,6,2011,57000,0,2026,5,25
종로구,숭인동,롯데캐슬천지인,112.54,17,2004,84000,0,2026,5,30
종로구,무악동,현대,84.92,2,2000,10000,270,2026,5,11
종로구,교북동,경희궁자이(4단지),37.2635,7,2017,53700,0,2026,5,29
종로구,효제동,포레스트힐시티,20.3861,7,2017,1000,100,2026,5,29
종로구,평동,경희궁자이(3단지),84.614,15,2017,60000,220,2026,5,22
종로구,숭인동,종로아인스빌,12.15,13,2013,500,65,2026,5,14
종로구,창신동,창신쌍용2,79.87,13,1993,49000,0,2026,5,16
종로구,충신동,힐스테이트창경궁,63.09,6,2022,25000,167,2026,5,20
종로구,명륜2가,아남1,84.9,14,1995,20000,188,2026,5,30
종로구,숭인동,삼전솔하임2차,15,9,2012,500,68,2026,5,19
종로구,창신동,창신쌍용2,106.62,4,1993,55000,0,2026,5,22
종로구,숭인동,청계로벤하임,30.96,5,2023,6645,11,2026,5,20
종로구,무악동,인왕산2차아이파크,84.0284,8,2015,85000,0,2026,5,16
종로구,효제동,포레스트힐시티,35.8451,14,2017,3000,160,2026,5,19
종로구,효제동,포레스트힐시티,35.8451,14,2017,3000,160,2026,5,19
종로구,익선동,현대뜨레비앙,48.54,6,2003,30000,0,2026,5,27
종로구,평동,경희궁자이(3단지),84.614,5,2017,112350,0,2026,5,23
종로구,견지동,대성스카이렉스,149.8,14,2008,5000,550,2026,5,30
종로구,숭인동,종로아인스빌,12.15,10,2013,8400,21,2026,5,26
종로구,무악동,경희궁롯데캐슬,84.8792,2,2019,94500,0,2026,5,27
종로구,숭인동,종로아인스빌,12.15,11,2013,500,65,2026,5,27
종로구,숭인동,청계로벤하임,20.247,7,2023,7470,35,2026,5,29
종로구,당주동,세종,102.89,5,1983,55000,0,2026,5,9
종로구,창신동,창신이수,68.06,2,2003,40500,0,2026,5,30
종로구,무악동,인왕산아이파크,84.858,13,2008,90000,0,2026,5,16
종로구,충신동,힐스테이트창경궁,76.82,10,2022,5000,289,2026,5,26
종로구,숭인동,버넷하임1,17.93,14,2013,500,70,2026,5,6
종로구,교북동,경희궁자이(4단지),37.2635,12,2017,20000,165,2026,5,20
종로구,평동,경희궁자이(3단지),84.8359,3,2017,10000,450,2026,5,22
종로구,익선동,현대뜨레비앙,45.5,4,2003,3000,130,2026,5,22
종로구,무악동,경희궁롯데캐슬,84.8792,2,2019,94500,0,2026,5,27
종로구,숭인동,삼전솔하임2차,14.69,10,2012,500,65,2026,5,22
종로구,평창동,갑을아파트,30.46,12,1997,1000,65,2026,5,8
종로구,숭인동,영하우스,20.27,18,2015,2000,58,2026,5,9
종로구,익선동,현대뜨레비앙,43.98,6,2003,1000,100,2026,5,4
종로구,숭인동,영하우스,20.27,18,2015,2000,58,2026,5,4
종로구,효제동,포레스트힐시티,16.672,8,2017,3000,75,2026,5,13
종로구,숭인동,에비뉴청계Ⅱ,17.04,12,2025,1000,125,2026,5,30
종로구,효제동,포레스트힐시티,16.672,8,2017,3000,75,2026,5,13
종로구,무악동,현대,114.9,18,2000,30000,220,2026,5,30
종로구,교북동,경희궁자이(4단지),37.2635,5,2017,60000,0,2026,5,29
종로구,명륜2가,아남1,84.9,7,1995,80000,0,2026,5,27
종로구,숭인동,영하우스,16.59,5,2015,2000,46,2026,5,26
종로구,숭인동,종로중흥S클래스,17.811,11,2013,500,70,2026,5,27
종로구,교북동,경희궁자이(4단지),37.2635,19,2017,25000,70,2026,5,29
종로구,내수동,경희궁의아침3단지,150.48,6,2004,20000,500,2026,5,11
종로구,교북동,동아,59.98,6,1995,10000,180,2026,5,29
종로구,평동,경희궁자이(3단지),59.9425,8,2017,55000,185,2026,5,25
종로구,홍파동,경희궁자이(2단지),84.8359,9,2017,20000,390,2026,5,14
종로구,명륜1가,건양하늘터,84.78,1,2006,68000,0,2026,5,23
종로구,숭인동,익성씨티하임,15.42,13,2013,1500,63,2026,5,9
종로구,창신동,창신쌍용1,54.7,4,1992,42000,0,2026,5,27
종로구,교북동,경희궁자이(4단지),37.2635,16,2017,60000,0,2026,5,27
종로구,평동,경희궁자이(3단지),84.614,4,2017,110000,0,2026,5,16
종로구,홍파동,경희궁자이(2단지),59.8547,19,2017,0,400,2026,5,13
