구,법정동,아파트명,전용면적,층,건축년도,보증금,월세,년,월,일
종로구,창신동,창신쌍용1,54.7,11,1992,45000,0,2026,8,27
종로구,숭인동,리마크빌종로,19.53,5,2026,1000,131,2026,8,26
종로구,홍파동,경희궁자이(2단지),116.9383,19,2017,170000,0,2026,8,25
종로구,숭인동,리마크빌종로,19.53,5,2026,1000,123,2026,8,18
종로구,숭인동,리마크빌종로,26.6,8,2026,2000,199,2026,8,12
종로구,창신동,창신쌍용1,54.7,11,1992,45000,0,2026,8,27
종로구,창신동,두산,59.95,16,1999,44000,0,2026,8,15
종로구,인의동,효성쥬얼리시티,84.64,15,2006,30000,160,2026,8,29
종로구,숭인동,삼전솔하임2차,16.67,6,2012,1000,65,2026,8,28
종로구,평창동,갑을아파트,30.46,5,1997,1000,60,2026,8,26
종로구,숭인동,숭인모범101동,59.65,6,2000,24000,20,2026,8,25
종로구,무악동,현대,84.92,4,2000,59600,0,2026,8,27
종로구,무악동,현대,84.92,11,2000,50000,70,2026,8,27
종로구,연건동,이화에수풀,16.98,6,2014,1000,78,2026,8,27
종로구,창신동,두산,59.95,1,1999,55000,0,2026,8,24
종로구,숭인동,영하우스,20.27,14,2015,2000,58,2026,8,19
종로구,숭인동,리마크빌종로,19.53,5,2026,1000,123,2026,8,19
종로구,숭인동,숭인모범102동,59.8,2,2000,28000,10,2026,8,25
종로구,무악동,현대,60,2,2000,10000,180,2026,8,25
종로구,창신동,창신쌍용1,54.7,13,1992,45000,0,2026,8,25
종로구,무악동,현대,84.92,16,2000,78000,0,2026,8,26
종로구,창신동,창신쌍용2,64.66,1,1993,30000,35,2026,8,22
종로구,평창동,밀레니엄,137.88,5,2017,78000,0,2026,8,26
종로구,홍파동,경희궁자이(2단지),116.9862,21,2017,173000,0,2026,8,17
종로구,홍파동,경희궁자이(2단지),84.9443,15,2017,80000,190,2026,8,22
종로구,숭인동,삼전솔하임2차,15,7,2012,1000,60,2026,8,2
종로구,평동,경희궁자이(3단지),59.8547,6,2017,50000,200,2026,8,25
종로구,숭인동,삼전솔하임2차,15,8,2012,1000,70,2026,8,5
종로구,평창동,그린나래,36.83,2,2026,6618,20,2026,8,11
종로구,평동,경희궁자이(3단지),59.8547,11,2017,95000,18,2026,8,22
종로구,홍파동,경희궁자이(2단지),84.9895,10,2017,30000,380,2026,8,22
종로구,명륜2가,명륜동주상복합아남아파트,65.78,7,1999,66000,0,2026,8,25
종로구,무악동,현대,114.9,10,2000,85000,0,2026,8,24
종로구,숭인동,블루버드숭인,28.21,13,2023,30000,20,2026,8,20
종로구,내수동,경희궁파크팰리스,146.39,4,2003,127000,0,2026,8,25
종로구,효제동,포레스트힐시티,14.4835,13,2017,1000,85,2026,8,3
종로구,숭인동,리마크빌종로,19.53,8,2026,1000,135,2026,8,7
